class,precision,recall,f1,support,tp,fp,fn,tn
"text is present, no evidence of oesophagitis, and no polyp identified",0.0,0.0,0.0,1,0,0,1,4698
"text is present, no polyps remain, and a tube is visible in the image.",0.0,0.0,0.0,1,0,0,1,4698
"text is present, z-line is identified, and the image is from a gastroscopy procedure.",0.0,0.0,0.0,1,0,0,1,4698
"text is present, z-line is visible, and no green or black box artifacts are observed.",0.0,0.0,0.0,1,0,0,1,4698
text is visible and the image is from a colonoscopy procedure,0.0,0.0,0.0,1,0,0,1,4698
text is visible and the z-line is identified,0.0,0.0,0.0,1,0,0,1,4698
text is visible and z-line is identified,0.0,0.0,0.0,1,0,0,1,4698
text is visible with no evidence of green or black box artifacts,0.0,0.0,0.0,1,0,0,1,4698
text is visible with no evidence of polypoid lesion,0.0,0.0,0.0,1,0,0,1,4698
"text is visible, evidence of oesophagitis is present, and no polyp is observed.",0.0,0.0,0.0,1,0,0,1,4698
"text is visible, no polyps are detected, and the image was obtained during a colonoscopy.",0.0,0.0,0.0,1,0,0,1,4698
"text is visible, one instrument is present, and two findings are noted.",0.0,0.0,0.0,1,0,0,1,4698
"the image is from a gastroscopy, no text is visible, and no polyp is identified.",0.0,0.0,0.0,1,0,0,1,4698
the image shows a gastroscopy with no artifact and no visible polyp.,0.0,0.0,0.0,1,0,0,1,4698
"the polyp measures 5 to 10 millimeters, a single polyp is present, and no anatomical landmarks are identifiable.",0.0,0.0,0.0,1,0,0,1,4698
the polyp measures between 11 to 20 millimeters with visible text and a single polyp noted.,0.0,0.0,0.0,1,0,0,1,4698
the procedure was a gastroscopy with visible z-line and no evidence of unremoved polyps.,0.0,0.0,0.0,1,0,0,1,4698
"the z-line is clearly identified, no signs of oesophagitis are present, and no instruments are visible.",0.0,0.0,0.0,1,0,0,1,4698
"the z-line is clearly identified, no text is present, and no instruments are observed.",0.0,0.0,0.0,1,0,0,1,4698
"the z-line is present, with two findings noted and no instruments visible.",0.0,0.0,0.0,1,0,0,1,4698
"the z-line is visible, no instruments are present, and text is evident.",0.0,0.0,0.0,1,0,0,1,4698
"the z-line is visible, with two distinct findings noted and no instruments present.",0.0,0.0,0.0,1,0,0,1,4698
"there are remaining polyps, green and black box artefacts are present, and a paris classification polyp is identified.",0.0,0.0,0.0,1,0,0,1,4698
there is a single visible instrument and text present with no abnormalities noted.,0.0,0.0,0.0,1,0,0,1,4698
tube identified in the abdominal region,0.0,0.0,0.0,1,0,0,1,4698
tube located in the gastric region,0.0,0.0,0.0,1,0,0,1,4698
tube observed in the gastric region,0.0,0.0,0.0,1,0,0,1,4698
tube present in the abdominal region,0.0,0.0,0.0,1,0,0,1,4698
tube present in the gastric region,0.0,0.0,0.0,1,0,0,1,4698
tube visible in abdominal region,0.0,0.0,0.0,3,0,0,3,4696
tube visible in the abdominal region,0.0,0.0,0.0,11,0,0,11,4688
tube visible in the gastric region,0.0,0.0,0.0,6,0,0,6,4693
tube visible in the gastrointestinal tract,0.0,0.0,0.0,4,0,0,4,4695
tube visible in the stomach,0.0,0.0,0.0,2,0,0,2,4697
tube visible in the stomach region,0.0,0.0,0.0,1,0,0,1,4698
"two distinct abnormalities noted, no polyps identified",0.0,0.0,0.0,1,0,0,1,4698
"two distinct findings are present, with no instruments visible.",0.0,0.0,0.0,1,0,0,1,4698
two findings including a polyp and a green/black box artifact are present.,0.0,0.0,0.0,1,0,0,1,4698
"two small polyps are identified, with one appearing as a sessile lesion.",0.0,0.0,0.0,1,0,0,1,4698
"visible anatomical landmark is the z-line, no polyps identified.",0.0,0.0,0.0,1,0,0,1,4698
visible in central and upper-central regions,0.0,0.0,0.0,1,0,0,1,4698
visible in the central region,0.0,0.0,0.0,1,0,0,1,4698
visible text and green/black box artifacts are present,0.0,0.0,0.0,1,0,0,1,4698
visible z-line at gastroesophageal junction,0.0,0.0,0.0,7,0,0,7,4692
visible z-line junction,0.0,0.0,0.0,1,0,0,1,4698
"visible z-line observed, no polyp identified",0.0,0.0,0.0,1,0,0,1,4698
visible z-line structure,0.0,0.0,0.0,1,0,0,1,4698
"z-line is clearly identified, no polypoid lesions are present.",0.0,0.0,0.0,1,0,0,1,4698
z-line is present without any visible polypoid lesions,0.0,0.0,0.0,1,0,0,1,4698
z-line is visible and no residual polyps are present.,0.0,0.0,0.0,1,0,0,1,4698
z-line is visible and text is present,0.0,0.0,0.0,1,0,0,1,4698
"z-line is visible, no green or black box artefact observed",0.0,0.0,0.0,1,0,0,1,4698
"z-line is visible, no instrument is seen, and polyp removal is not applicable.",0.0,0.0,0.0,1,0,0,1,4698
