class,precision,recall,f1,support,tp,fp,fn
two distinct findings identified without any box artifacts,0.0,0.0,0.0,1,0,0,1
two distinct findings identified without evidence of box artifacts,0.0,0.0,0.0,1,0,0,1
two distinct findings observed with no evidence of polypoid lesions,0.0,0.0,0.0,1,0,0,1
two distinct findings observed without any box artifacts,0.0,0.0,0.0,1,0,0,1
visible anatomical landmark is the z-line,0.0,0.0,0.0,3,0,0,3
visible text,0.0,0.0,0.0,1,0,0,1
with a green/black box artefact noted,0.0,0.0,0.0,1,0,0,1
with a large polyp measuring greater than 20 millimeters.,0.0,0.0,0.0,1,0,0,1
with a paris classification type identified.,0.0,0.0,0.0,1,0,0,1
with a polyp greater than 20 millimeters in size classified as a paris ip type.,0.0,0.0,0.0,1,0,0,1
with a polyp larger than 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
with a polyp measuring 11 to 20 millimeters in size,0.0,0.0,0.0,2,0,0,2
with a polyp measuring 11 to 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
with a polyp measuring greater than 20 millimeters.,0.0,0.0,0.0,1,0,0,1
with a small polyp measuring less than 5 millimeters,0.0,0.0,0.0,1,0,0,1
with largest measuring 11 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
with no polypoid lesions identified.,0.0,0.0,0.0,1,0,0,1
with no polyps observed.,0.0,0.0,0.0,1,0,0,1
with sizes ranging from 5 to 10 millimeters and some less than 5 millimeters in size,0.0,0.0,0.0,1,0,0,1
with the cecum clearly visible and no instruments present.,0.0,0.0,0.0,1,0,0,1
with the largest measuring 11 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
with the largest measuring 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
with the largest measuring more than 20 millimeters,0.0,0.0,0.0,1,0,0,1
with visible text detected.,0.0,0.0,0.0,1,0,0,1
with visualization of the cecum.,0.0,0.0,0.0,1,0,0,1
z-line is visible,0.0,0.0,0.0,2,0,0,2
z-line is visible in the gastric image,0.0,0.0,0.0,1,0,0,1
